model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,0,24.84,0.8229,0.9922,0.1726,3.28 × 10^-3,4.13 × 10^-2
bmshj2018-factorized,1,1,29.28,0.8679,0.986,0.1152,1.18 × 10^-3,2.29 × 10^-2
bmshj2018-factorized,1,2,30.42,0.9134,0.9887,0.1035,9.08 × 10^-4,1.9 × 10^-2
bmshj2018-factorized,1,3,28.79,0.8718,0.9925,0.1136,1.32 × 10^-3,2.44 × 10^-2
bmshj2018-factorized,1,4,23.57,0.8351,0.9939,0.194,4.39 × 10^-3,4.65 × 10^-2
bmshj2018-factorized,1,5,25.36,0.8314,0.9945,0.1405,2.91 × 10^-3,3.58 × 10^-2
bmshj2018-factorized,1,6,28.98,0.9294,1.0091,0.1329,1.27 × 10^-3,2.3 × 10^-2
bmshj2018-factorized,1,7,22.5,0.8401,0.9984,0.2067,5.62 × 10^-3,5.14 × 10^-2
bmshj2018-factorized,1,8,29.68,0.9178,1.0014,0.1128,1.08 × 10^-3,2.05 × 10^-2
bmshj2018-factorized,1,9,28.99,0.9054,0.9916,0.1143,1.26 × 10^-3,2.21 × 10^-2
bmshj2018-factorized,1,10,26.79,0.8512,0.9998,0.1302,2.09 × 10^-3,2.98 × 10^-2
bmshj2018-factorized,1,11,30.3,0.8926,1.0152,0.1074,9.33 × 10^-4,2.05 × 10^-2
bmshj2018-factorized,1,12,21.57,0.751,1.0059,0.1824,6.97 × 10^-3,5.76 × 10^-2
bmshj2018-factorized,1,13,25.32,0.8263,0.9936,0.1548,2.94 × 10^-3,3.7 × 10^-2
bmshj2018-factorized,1,14,28.94,0.8927,0.9988,0.1129,1.28 × 10^-3,2.21 × 10^-2
bmshj2018-factorized,1,15,28.25,0.8554,1.0149,0.1036,1.5 × 10^-3,2.58 × 10^-2
bmshj2018-factorized,1,16,28.69,0.9011,1.0079,0.1147,1.35 × 10^-3,2.31 × 10^-2
bmshj2018-factorized,1,17,24.89,0.8224,1.0008,0.146,3.25 × 10^-3,3.75 × 10^-2
bmshj2018-factorized,1,18,26.78,0.8652,0.9904,0.1231,2.1 × 10^-3,2.97 × 10^-2
bmshj2018-factorized,1,19,29.16,0.9117,1.0047,0.1118,1.21 × 10^-3,1.91 × 10^-2
bmshj2018-factorized,1,20,25.97,0.8763,0.9972,0.1366,2.53 × 10^-3,3.11 × 10^-2
bmshj2018-factorized,1,21,27.29,0.8409,1.0312,0.123,1.87 × 10^-3,2.95 × 10^-2
bmshj2018-factorized,1,22,30.27,0.9339,0.9894,0.1082,9.4 × 10^-4,1.85 × 10^-2
bmshj2018-factorized,1,23,24.03,0.8413,0.9998,0.1466,3.95 × 10^-3,3.77 × 10^-2
bmshj2018-factorized,1,0,25.89,0.8539,0.9946,0.2653,2.58 × 10^-3,3.66 × 10^-2
bmshj2018-factorized,1,1,30.34,0.8846,1.0134,0.1692,9.24 × 10^-4,2.03 × 10^-2
bmshj2018-factorized,1,2,31.66,0.9272,0.9931,0.1529,6.82 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,3,29.93,0.891,0.9992,0.1706,1.02 × 10^-3,2.14 × 10^-2
bmshj2018-factorized,1,4,25.0,0.8749,0.9955,0.3013,3.16 × 10^-3,3.93 × 10^-2
bmshj2018-factorized,1,5,26.6,0.8662,0.9922,0.2213,2.19 × 10^-3,3.11 × 10^-2
bmshj2018-factorized,1,6,30.53,0.9456,0.9968,0.1939,8.86 × 10^-4,1.91 × 10^-2
bmshj2018-factorized,1,7,24.02,0.8765,1.0112,0.3129,3.97 × 10^-3,4.32 × 10^-2
bmshj2018-factorized,1,8,31.17,0.9334,1.0018,0.1657,7.63 × 10^-4,1.75 × 10^-2
bmshj2018-factorized,1,9,30.47,0.9236,0.9926,0.1719,8.98 × 10^-4,1.9 × 10^-2
bmshj2018-factorized,1,10,27.96,0.8776,0.9981,0.2003,1.6 × 10^-3,2.61 × 10^-2
bmshj2018-factorized,1,11,31.55,0.9093,1.0017,0.1595,6.99 × 10^-4,1.79 × 10^-2
bmshj2018-factorized,1,12,22.48,0.7934,1.0058,0.2952,5.65 × 10^-3,5.18 × 10^-2
bmshj2018-factorized,1,13,26.63,0.86,0.9915,0.2397,2.17 × 10^-3,3.2 × 10^-2
bmshj2018-factorized,1,14,30.07,0.9069,1.0029,0.1665,9.84 × 10^-4,1.95 × 10^-2
bmshj2018-factorized,1,15,29.54,0.8853,1.0017,0.166,1.11 × 10^-3,2.24 × 10^-2
bmshj2018-factorized,1,16,29.92,0.9193,1.0071,0.1709,1.02 × 10^-3,1.99 × 10^-2
bmshj2018-factorized,1,17,25.89,0.8568,1.0151,0.2306,2.58 × 10^-3,3.31 × 10^-2
bmshj2018-factorized,1,18,28.37,0.8873,0.9948,0.1877,1.46 × 10^-3,2.53 × 10^-2
bmshj2018-factorized,1,19,30.45,0.9242,0.9989,0.1634,9.02 × 10^-4,1.68 × 10^-2
bmshj2018-factorized,1,20,27.18,0.8996,0.9985,0.2077,1.91 × 10^-3,2.72 × 10^-2
bmshj2018-factorized,1,21,28.41,0.8666,1.0234,0.189,1.44 × 10^-3,2.6 × 10^-2
bmshj2018-factorized,1,22,31.72,0.9438,0.993,0.1548,6.73 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,23,25.08,0.8737,0.9955,0.2313,3.1 × 10^-3,3.28 × 10^-2
bmshj2018-factorized,1,0,27.09,0.8855,0.9989,0.411,1.96 × 10^-3,3.19 × 10^-2
bmshj2018-factorized,1,1,31.6,0.903,0.9994,0.2544,6.92 × 10^-4,1.79 × 10^-2
bmshj2018-factorized,1,2,33.01,0.9411,0.9968,0.2245,5.0 × 10^-4,1.43 × 10^-2
bmshj2018-factorized,1,3,31.3,0.9121,1.0102,0.2561,7.42 × 10^-4,1.85 × 10^-2
bmshj2018-factorized,1,4,26.64,0.91,0.9916,0.46,2.17 × 10^-3,3.26 × 10^-2
bmshj2018-factorized,1,5,28.0,0.8991,1.0024,0.3428,1.59 × 10^-3,2.67 × 10^-2
bmshj2018-factorized,1,6,32.21,0.9586,1.0034,0.2791,6.01 × 10^-4,1.58 × 10^-2
bmshj2018-factorized,1,7,25.59,0.9061,1.0084,0.4723,2.76 × 10^-3,3.64 × 10^-2
bmshj2018-factorized,1,8,32.66,0.9455,0.9989,0.242,5.42 × 10^-4,1.51 × 10^-2
bmshj2018-factorized,1,9,32.17,0.9394,0.997,0.253,6.07 × 10^-4,1.61 × 10^-2
bmshj2018-factorized,1,10,29.26,0.9037,0.9989,0.3063,1.18 × 10^-3,2.26 × 10^-2
bmshj2018-factorized,1,11,32.87,0.9259,1.008,0.2369,5.16 × 10^-4,1.55 × 10^-2
bmshj2018-factorized,1,12,23.63,0.8409,1.0025,0.48,4.33 × 10^-3,4.56 × 10^-2
bmshj2018-factorized,1,13,28.13,0.8933,0.9973,0.3674,1.54 × 10^-3,2.72 × 10^-2
bmshj2018-factorized,1,14,31.33,0.9226,0.9998,0.2471,7.37 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,15,30.9,0.912,1.0001,0.2573,8.13 × 10^-4,1.93 × 10^-2
bmshj2018-factorized,1,16,31.29,0.9354,1.0041,0.2536,7.42 × 10^-4,1.71 × 10^-2
bmshj2018-factorized,1,17,27.01,0.8901,1.0112,0.3583,1.99 × 10^-3,2.88 × 10^-2
bmshj2018-factorized,1,18,29.79,0.9083,1.0007,0.2853,1.05 × 10^-3,2.19 × 10^-2
bmshj2018-factorized,1,19,31.74,0.9365,0.9957,0.2395,6.69 × 10^-4,1.48 × 10^-2
bmshj2018-factorized,1,20,28.58,0.9221,0.9988,0.3165,1.39 × 10^-3,2.34 × 10^-2
bmshj2018-factorized,1,21,29.62,0.8933,1.0157,0.2936,1.09 × 10^-3,2.28 × 10^-2
bmshj2018-factorized,1,22,33.42,0.9533,0.99,0.2199,4.55 × 10^-4,1.34 × 10^-2
